IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.218.52.115,2095,2095,false,HKG,Asia Pacific,Hong Kong,77,1.05
47.243.139.85,8080,8080,false,HKG,Asia Pacific,Hong Kong,61,1.04
8.210.100.23,80,80,false,HKG,Asia Pacific,Hong Kong,28,1.04
47.242.54.157,2083,0,true,HKG,Asia Pacific,Hong Kong,50,1.03
47.242.202.230,8080,8080,false,HKG,Asia Pacific,Hong Kong,38,1.03
8.217.251.62,2082,2082,false,HKG,Asia Pacific,Hong Kong,56,1.03
47.243.60.150,8880,8880,false,HKG,Asia Pacific,Hong Kong,57,1.02
8.217.250.222,80,80,false,HKG,Asia Pacific,Hong Kong,28,1.01
47.243.139.85,2052,2052,false,HKG,Asia Pacific,Hong Kong,49,1.01
47.243.173.187,8080,8080,false,HKG,Asia Pacific,Hong Kong,47,1.01
47.242.202.230,2087,0,true,HKG,Asia Pacific,Hong Kong,60,1.00
8.210.85.222,2053,0,true,HKG,Asia Pacific,Hong Kong,36,1.00
8.218.3.12,80,80,false,HKG,Asia Pacific,Hong Kong,29,1.00
47.76.146.1,2086,2086,false,HKG,Asia Pacific,Hong Kong,55,1.00
47.243.42.219,80,80,false,HKG,Asia Pacific,Hong Kong,28,0.99
8.218.174.118,8880,8880,false,HKG,Asia Pacific,Hong Kong,68,0.97
8.217.85.14,2083,0,true,HKG,Asia Pacific,Hong Kong,64,0.97
47.76.77.103,8080,8080,false,HKG,Asia Pacific,Hong Kong,49,0.97
8.210.245.224,8880,8880,false,HKG,Asia Pacific,Hong Kong,46,0.97
8.210.55.134,80,80,false,HKG,Asia Pacific,Hong Kong,71,0.96
8.210.174.156,2096,2096,true,HKG,Asia Pacific,Hong Kong,34,0.96
8.210.156.6,2095,2095,false,HKG,Asia Pacific,Hong Kong,35,0.96
8.217.154.218,2083,0,true,HKG,Asia Pacific,Hong Kong,55,0.95
8.218.136.25,80,80,false,HKG,Asia Pacific,Hong Kong,32,0.95
8.218.53.110,80,80,false,HKG,Asia Pacific,Hong Kong,37,0.94
8.210.43.213,8443,8443,true,HKG,Asia Pacific,Hong Kong,35,0.94
47.243.203.119,8880,8880,false,HKG,Asia Pacific,Hong Kong,63,0.93
47.243.70.186,2087,0,true,HKG,Asia Pacific,Hong Kong,57,0.92
8.218.207.169,2095,2095,false,HKG,Asia Pacific,Hong Kong,40,0.92
47.243.139.243,8443,0,true,HKG,Asia Pacific,Hong Kong,57,0.92
8.218.228.152,2087,0,true,HKG,Asia Pacific,Hong Kong,62,0.91
47.243.70.186,8443,0,true,HKG,Asia Pacific,Hong Kong,44,0.90
8.217.85.14,2082,2082,false,HKG,Asia Pacific,Hong Kong,65,0.89
8.217.250.222,2082,2082,false,HKG,Asia Pacific,Hong Kong,56,0.89
47.243.42.219,8080,8080,false,HKG,Asia Pacific,Hong Kong,39,0.89
47.243.91.58,2087,0,true,HKG,Asia Pacific,Hong Kong,39,0.89
8.210.146.108,8880,8880,false,HKG,Asia Pacific,Hong Kong,57,0.87
47.243.243.14,2083,0,true,HKG,Asia Pacific,Hong Kong,55,0.87
47.238.5.0,2083,0,true,HKG,Asia Pacific,Hong Kong,44,0.87
47.243.203.119,8443,0,true,HKG,Asia Pacific,Hong Kong,40,0.87
47.242.155.183,2086,2086,false,HKG,Asia Pacific,Hong Kong,58,0.87
8.218.173.78,8443,0,true,HKG,Asia Pacific,Hong Kong,66,0.87
8.218.53.110,2082,2082,false,HKG,Asia Pacific,Hong Kong,43,0.86
47.243.27.217,8080,8080,false,HKG,Asia Pacific,Hong Kong,50,0.86
8.218.204.128,2095,2095,false,HKG,Asia Pacific,Hong Kong,52,0.86
8.218.122.55,8080,8080,false,HKG,Asia Pacific,Hong Kong,64,0.85
47.242.234.127,2083,0,true,HKG,Asia Pacific,Hong Kong,61,0.85
8.217.221.165,8880,8880,false,HKG,Asia Pacific,Hong Kong,40,0.85
47.243.90.180,2096,0,true,HKG,Asia Pacific,Hong Kong,51,0.85
8.218.2.181,8080,8080,false,HKG,Asia Pacific,Hong Kong,38,0.83
8.218.211.17,8080,8080,false,HKG,Asia Pacific,Hong Kong,39,0.83
47.242.202.230,2095,2095,false,HKG,Asia Pacific,Hong Kong,42,0.83
8.210.207.214,2086,0,false,HKG,Asia Pacific,Hong Kong,52,0.83
47.242.59.216,2096,0,true,HKG,Asia Pacific,Hong Kong,47,0.82
8.217.181.213,8443,0,true,HKG,Asia Pacific,Hong Kong,52,0.82
47.243.243.14,2087,0,true,HKG,Asia Pacific,Hong Kong,38,0.82
47.76.227.128,2087,0,true,HKG,Asia Pacific,Hong Kong,41,0.82
8.210.100.23,2053,0,true,HKG,Asia Pacific,Hong Kong,49,0.81
8.217.145.40,2087,0,true,HKG,Asia Pacific,Hong Kong,45,0.81
47.76.49.246,2096,0,true,HKG,Asia Pacific,Hong Kong,61,0.78
47.242.119.104,8443,0,true,HKG,Asia Pacific,Hong Kong,42,0.78
8.218.126.53,2095,0,false,HKG,Asia Pacific,Hong Kong,83,0.77
8.210.65.1,2096,0,true,HKG,Asia Pacific,Hong Kong,49,0.77
8.217.193.25,80,80,false,HKG,Asia Pacific,Hong Kong,34,0.77
8.217.85.14,8080,8080,false,HKG,Asia Pacific,Hong Kong,49,0.76
47.76.26.26,8443,0,true,HKG,Asia Pacific,Hong Kong,75,0.76
47.242.234.127,8443,0,true,HKG,Asia Pacific,Hong Kong,51,0.76
8.218.3.12,2082,2082,false,HKG,Asia Pacific,Hong Kong,57,0.74
47.242.157.96,80,80,false,HKG,Asia Pacific,Hong Kong,33,0.74
8.217.193.25,2082,2082,false,HKG,Asia Pacific,Hong Kong,58,0.73
8.210.21.65,2082,2082,false,HKG,Asia Pacific,Hong Kong,55,0.71
8.217.147.230,2086,2086,false,HKG,Asia Pacific,Hong Kong,49,0.70
8.218.18.132,80,80,false,HKG,Asia Pacific,Hong Kong,52,0.70
8.210.192.93,2082,2082,false,HKG,Asia Pacific,Hong Kong,46,0.70
47.243.90.180,8443,0,true,HKG,Asia Pacific,Hong Kong,38,0.70
8.218.142.253,8080,8080,false,HKG,Asia Pacific,Hong Kong,34,0.70
8.210.156.6,2082,0,false,HKG,Asia Pacific,Hong Kong,112,0.70
8.218.188.129,80,80,false,HKG,Asia Pacific,Hong Kong,25,0.69
